# !!! シミュレーションデータ / SIMULATED DATA !!!
# これは一様乱数で生成した架空の抽せん結果であり、実際のロト7の当せん番号ではない。
# 動作確認・バックテストの基準線としてのみ使用すること。
# 実データはみずほ銀行の公式サイトから取得し、`python -m loto7 import <csv>` で置き換える。
round,date,n1,n2,n3,n4,n5,n6,n7,b1,b2
507,2022-12-16,2,3,6,7,21,23,37,15,17
508,2022-12-23,10,15,17,19,26,27,36,23,35
509,2022-12-30,2,3,25,32,33,34,36,4,31
510,2023-01-06,6,8,22,24,27,36,37,19,34
511,2023-01-13,7,13,14,20,27,33,37,29,31
512,2023-01-20,1,5,18,26,28,34,36,13,31
513,2023-01-27,6,8,12,15,29,31,36,25,37
514,2023-02-03,7,9,10,21,26,32,37,14,18
515,2023-02-10,2,3,4,11,23,27,29,16,30
516,2023-02-17,7,8,13,14,16,25,35,6,9
517,2023-02-24,4,6,14,20,25,27,37,8,16
518,2023-03-03,3,6,11,14,30,33,37,2,23
519,2023-03-10,1,16,17,18,22,26,28,19,33
520,2023-03-17,1,2,8,9,26,29,30,25,33
521,2023-03-24,2,4,14,16,17,26,35,9,25
522,2023-03-31,12,16,17,24,28,35,37,21,36
523,2023-04-07,1,5,14,18,23,28,34,20,26
524,2023-04-14,1,13,16,18,25,30,31,8,15
525,2023-04-21,3,18,19,22,26,27,36,7,33
526,2023-04-28,10,11,15,17,22,25,37,7,28
527,2023-05-05,4,9,12,13,17,23,26,5,31
528,2023-05-12,1,2,5,16,18,20,37,7,13
529,2023-05-19,10,20,21,23,25,28,30,15,37
530,2023-05-26,3,10,11,20,28,35,37,19,29
531,2023-06-02,1,11,13,16,17,26,34,23,36
532,2023-06-09,6,9,15,25,31,32,33,11,34
533,2023-06-16,6,10,11,14,17,23,34,4,24
534,2023-06-23,3,5,22,26,30,34,37,9,11
535,2023-06-30,6,8,13,19,28,29,36,1,37
536,2023-07-07,2,11,12,23,25,26,30,7,36
537,2023-07-14,7,16,17,19,22,30,33,18,29
538,2023-07-21,5,6,19,20,24,32,37,3,9
539,2023-07-28,8,10,11,23,24,36,37,6,18
540,2023-08-04,5,6,16,20,22,24,30,17,21
541,2023-08-11,7,11,13,16,20,30,37,22,34
542,2023-08-18,5,11,20,21,30,33,37,1,6
543,2023-08-25,12,17,19,20,23,32,33,27,28
544,2023-09-01,11,12,17,28,31,32,35,19,37
545,2023-09-08,1,14,24,27,29,34,35,2,30
546,2023-09-15,3,5,6,13,20,25,30,22,33
547,2023-09-22,3,11,12,19,30,33,35,5,7
548,2023-09-29,4,6,8,9,11,20,26,5,33
549,2023-10-06,1,6,11,15,24,27,36,18,28
550,2023-10-13,13,15,16,20,23,27,30,18,32
551,2023-10-20,6,9,12,21,24,29,36,8,31
552,2023-10-27,12,21,23,26,30,34,35,13,16
553,2023-11-03,7,11,12,21,27,34,35,9,32
554,2023-11-10,3,6,12,15,16,18,27,13,28
555,2023-11-17,3,9,16,17,18,26,34,25,29
556,2023-11-24,1,9,19,24,26,30,35,7,31
557,2023-12-01,13,24,27,28,30,33,34,3,36
558,2023-12-08,11,14,24,25,28,31,34,6,17
559,2023-12-15,12,16,25,28,29,30,33,15,32
560,2023-12-22,2,15,16,21,29,34,36,22,32
561,2023-12-29,4,15,17,23,29,32,35,5,6
562,2024-01-05,1,2,11,17,23,27,36,4,24
563,2024-01-12,11,16,21,28,31,36,37,8,22
564,2024-01-19,1,5,22,23,26,27,36,7,16
565,2024-01-26,7,9,14,31,32,33,35,18,25
566,2024-02-02,6,7,9,19,29,33,35,14,28
567,2024-02-09,9,10,27,30,31,33,37,8,23
568,2024-02-16,1,4,6,8,11,17,37,3,20
569,2024-02-23,7,16,26,27,30,33,34,21,28
570,2024-03-01,9,15,18,19,26,34,36,28,37
571,2024-03-08,1,10,11,22,26,29,32,30,35
572,2024-03-15,5,13,19,29,31,34,35,14,37
573,2024-03-22,2,17,18,19,20,34,37,4,21
574,2024-03-29,7,8,10,14,15,17,23,19,31
575,2024-04-05,3,4,16,18,22,32,36,24,33
576,2024-04-12,7,9,12,14,17,18,36,2,3
577,2024-04-19,3,9,18,24,27,34,37,6,22
578,2024-04-26,10,13,14,16,21,29,32,15,22
579,2024-05-03,3,6,11,13,18,33,36,7,29
580,2024-05-10,22,24,29,32,34,36,37,3,31
581,2024-05-17,8,18,25,26,28,30,34,14,19
582,2024-05-24,4,6,8,9,16,27,33,5,21
583,2024-05-31,5,12,19,21,23,30,33,3,29
584,2024-06-07,15,16,17,18,23,25,28,11,22
585,2024-06-14,7,15,19,22,23,26,30,2,4
586,2024-06-21,2,5,9,11,18,22,25,19,28
587,2024-06-28,1,5,15,17,20,22,28,30,31
588,2024-07-05,5,10,13,25,31,36,37,17,26
589,2024-07-12,3,8,14,21,24,29,36,11,12
590,2024-07-19,5,13,16,19,21,26,31,4,28
591,2024-07-26,8,15,21,33,34,35,37,1,27
592,2024-08-02,6,9,10,15,32,34,37,1,7
593,2024-08-09,5,7,9,14,30,31,34,6,24
594,2024-08-16,9,22,25,27,32,33,36,15,21
595,2024-08-23,3,5,7,9,17,23,29,26,32
596,2024-08-30,2,5,12,16,24,30,31,3,35
597,2024-09-06,4,13,15,19,21,25,34,17,35
598,2024-09-13,3,6,9,11,14,15,28,5,34
599,2024-09-20,2,3,16,24,30,31,35,22,23
600,2024-09-27,4,6,12,14,15,16,23,27,32
